Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Custom field (Start date),Custom field (Team),Custom field (Vulnerability),Comment,Status Category,Status Category Changed
Checking Account Balance incorrectly deducted by $10 after Deposit transaction,DP-20,10019,Bug,In Progress,DP,SENG637 ATM Testing,software,Ashwin Shanmugam,712020:2834640e-88bb-48be-8933-b418c31c0749,Your first project,Medium,,,,Jasneet Singh,712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0,Jasneet Singh,712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0,06/Feb/26 3:11 PM,06/Feb/26 11:27 PM,,,1.1,,0,"Function Tested: Deposit (Calculation Logic)

Initial System State: 

* System is ON.

* User is logged in with a valid card (e.g., Card 1, PIN 42).

* The initial balance of the Checking account is $100.00

Steps To Reproduce:

# Select Deposit transaction from the main menu.

# Select Checking account.

# Enter a deposit amount of $20.00 (or any valid amount).

# Click the button to simulate inserting the envelope.

# Observe the ""Ending Balance"" printed on the receipt or perform a Balance Inquiry on the Checking account.

Expected Result:

The Checking account balance should increase by exactly the deposited amount.

Actual Result:

The Checking account balance is $10.00 less than the expected total.

* Observed Balance: $110.00 (instead of $120.00).

* The system appears to be deducting a hidden $10.00 fee or miscalculating the total.

Comments: ",,Jasneet Singh,,712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0,,,,,,,,,,,,0|i00011:,,,,06/Feb/26 11:27 PM;712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0;Defect still exists in 1.1. Defect now deducts .10 cents per deposit instead of 10$,In Progress,06/Feb/26 11:17 PM
"Inconsistent Account Access: Balance Inquiry fails for ""Money Market"" on Card 2, despite valid access via other transactions",DP-19,10018,Bug,Resolved,DP,SENG637 ATM Testing,software,Ashwin Shanmugam,712020:2834640e-88bb-48be-8933-b418c31c0749,Your first project,Medium,Done,,,Jasneet Singh,712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0,Jasneet Singh,712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0,06/Feb/26 2:54 PM,06/Feb/26 11:17 PM,,06/Feb/26 11:17 PM,,,0,"Function Tested: Balance Inquiry / Account Logic Consistency

Initial System State: 

* System is *ON*.

* *Card #2* is inserted.

* *PIN 1234* is entered successfully.

Steps To Reproduce: 

# *Verification of Access:* Select *Withdrawal*, choose *Money Market*, and withdraw $20. (Result: *Success* - Proves account access exists).

# Return to Main Menu.

# Select *Balance Inquiry*.

# Select *Money Market*.

Expected Result: Since the Money Market account is valid for Card 2 (as per Instructions and proven by the successful withdrawal), the Balance Inquiry should display the current balance (e.g., $4,980 after the withdrawal) and print a receipt.

Actual Result: The system displays an *""Invalid account type""* error message and aborts the transaction. This contradicts the system's behavior in Step 1, where the Money Market account was valid and accessible.

Comments: ",,Jasneet Singh,,712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0,,,,,,,,,,,,0|i0001v:,,,,,Done,06/Feb/26 11:17 PM
"Card Retention Failure: ""Retained"" card can be immediately re-used in a new session",DP-18,10017,Bug,In Progress,DP,SENG637 ATM Testing,software,Ashwin Shanmugam,712020:2834640e-88bb-48be-8933-b418c31c0749,Your first project,Medium,,,,Jasneet Singh,712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0,Jasneet Singh,712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0,06/Feb/26 2:54 PM,06/Feb/26 11:23 PM,06/Feb/26 11:12 PM,,1.1,,0,"Function Tested: Session / Security

Initial System State:

* System is *ON*.

* *Card #1* is inserted.

* System is prompting for PIN entry.

Steps To Reproduce:

# Enter an *incorrect PIN* (e.g., ""0000"") and press Enter.

# Repeat step 1 two more times (Total of 3 invalid attempts).

# Observe the message stating the card has been retained.

# Click the ""Click to insert card"" button (to start a new session).

# Enter *Card #1* (the same card that was just ""retained"") and press Enter.

# Enter the *correct PIN* (42) and press Enter.

Expected Result:Per Appendix B, the card should be *""permanently retained""*. In the simulation context, entering Card ID ""1"" after it has been retained should result in an error (e.g., ""Card not valid"" or ""Card is currently retained by bank"") or the system should block the login, as the physical card is supposedly inside the machine.

Actual Result:The system accepts Card 1 and the correct PIN, logging the user in successfully. The ""retention"" of the card was only a temporary display message; the system failed to blacklist or lock out the Card ID ""1"" as being held by the bank.

Comments: ",,Jasneet Singh,Noshin,712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0,712020:03036190-62f5-449b-80c9-e16e6cdb8a5a,,,,,,,,,,,0|i0001z:,,,,06/Feb/26 11:19 PM;712020:03036190-62f5-449b-80c9-e16e6cdb8a5a;Defect still exists in version 1.1,In Progress,06/Feb/26 11:19 PM
Withdrawal Amount Discrepancy: System dispenses the next option instead of selected option,DP-17,10016,Bug,Resolved,DP,SENG637 ATM Testing,software,Ashwin Shanmugam,712020:2834640e-88bb-48be-8933-b418c31c0749,Your first project,Medium,Done,,,Jasneet Singh,712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0,Jasneet Singh,712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0,06/Feb/26 2:54 PM,06/Feb/26 11:11 PM,06/Feb/26 11:09 PM,06/Feb/26 11:11 PM,,,0,"Function Tested:Withdrawal (Amount Logic)

Initial System State:

* System is *ON*.

* *Card #1* is inserted.

* *PIN 42* is entered successfully.

* User is at the ""Withdrawal"" menu for the *Checking* account.

Steps To Reproduce:

# Select *Withdrawal* from the transaction menu.

# Select *Checking* account.

# Select *Option 1* ($20.00) from the withdrawal amount menu.

# Observe the cash dispensed/balance deduction or the printed receipt.

Expected Result:

* The system should withdraw exactly *$20.00*.

* The receipt should indicate a withdrawal of $20.00.

* The account balance should decrease by exactly $20.00.

Actual Result:

* The system withdraws *$40.00*.
* *System is withdrawing the numbered option after the selected option*

Comments: ",,Jasneet Singh,,712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0,,,,,,,,,,,,0|i0001r:,,,,,Done,06/Feb/26 11:11 PM
"Receipt incorrectly inverts ""From"" and ""To"" account labels on Transfer transactions",DP-16,10015,Bug,In Progress,DP,SENG637 ATM Testing,software,Ashwin Shanmugam,712020:2834640e-88bb-48be-8933-b418c31c0749,Your first project,Medium,,,,Jasneet Singh,712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0,Jasneet Singh,712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0,06/Feb/26 2:53 PM,06/Feb/26 11:22 PM,,,1.1,,0,"Function Tested: Transfer (Receipt Printing)

Initial System State:

* System is *ON*.

* *Card #2* is inserted (User logged in with PIN 1234).

* User has selected *Transfer* from the transaction menu.

Steps To Reproduce:

# Select *Money Market* as the account to transfer *FROM*.

# Select *Checking* as the account to transfer *TO*.

# Enter a valid amount (e.g., *$99.50*).

# Complete the transaction.

# Examine the printed receipt.

Expected Result:

* The receipt should accurately reflect the direction of the funds.

* Text should read: *TRANSFER FROM: MMKT TO: CHKG*.

* (Per Requirement, the balance shown should be the ""To"" account, i.e., Checking).

Actual Result:

* The receipt explicitly inverts the account labels.

* Text reads: *TRANSFER FROM: CHKG TO: MMKT*.

Comments: ",,Ashwin Shanmugam,Jasneet Singh,712020:2834640e-88bb-48be-8933-b418c31c0749,712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0,,,,,,,,,,,0|i0001j:,,,,06/Feb/26 11:22 PM;712020:2834640e-88bb-48be-8933-b418c31c0749;Defect still exists in version 1.1,In Progress,06/Feb/26 11:22 PM
Receipt Card Number Off-by-One Error (Card ID Incrementing by 1),DP-15,10014,Bug,In Progress,DP,SENG637 ATM Testing,software,Ashwin Shanmugam,712020:2834640e-88bb-48be-8933-b418c31c0749,Your first project,Medium,,,,Jasneet Singh,712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0,Jasneet Singh,712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0,06/Feb/26 2:53 PM,06/Feb/26 11:23 PM,,,1.1,,0,"Function Tested: Receipt Printing / Transaction Logging

Initial System State: 

* System is *ON*.

* The ATM is idle and waiting for a card.

Steps To Reproduce: 

# Insert *Card #1* (PIN 42) OR *Card #2* (PIN 1234).

# Perform any valid transaction (e.g., Balance Inquiry).

# Observe the printed receipt.

Expected Result:

The receipt should display the exact card number used for the transaction:

* If *Card 1* is used, receipt displays *""CARD 1""*.

* If *Card 2* is used, receipt displays *""CARD 2""*.

Actual Result:

The system consistently adds *1* to the actual card number on the receipt:

* *Card 1* generates a receipt for *""CARD 2""*.

* *Card 2* generates a receipt for *""CARD 3""*.

Comments: ",,Ashwin Shanmugam,Jasneet Singh,712020:2834640e-88bb-48be-8933-b418c31c0749,712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0,,,,,,,,,,,0|i0001b:,,,,06/Feb/26 11:19 PM;712020:2834640e-88bb-48be-8933-b418c31c0749;Defect still exists in version 1.1,In Progress,06/Feb/26 11:19 PM
"Unauthorized ""Money Market"" Option for Card 1",DP-14,10013,Bug,In Progress,DP,SENG637 ATM Testing,software,Ashwin Shanmugam,712020:2834640e-88bb-48be-8933-b418c31c0749,Your first project,Medium,,,,Jasneet Singh,712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0,Jasneet Singh,712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0,06/Feb/26 2:53 PM,06/Feb/26 11:23 PM,,,1.1,,0,"Function Tested: Account Selection

Initial System State: 

* System is *ON*.

* *Card #1* is inserted.

* *PIN 42* is entered successfully.

* User is at the ""Transaction Selection"" menu.

Steps To Reproduce:

# Select *Balance Inquiry* (or any transaction requiring account selection).

# Observe the account options displayed on the screen.

# Select the *Money Market* button.

Expected Result:

* According to the system specifications, *Card 1* should only have access to *Checking* and *Savings* accounts.

* The ""Money Market"" option should not be displayed or selectable for this user.

Actual Result:

* The ""Money Market"" option is displayed.

* Upon clicking ""Money Market"", the screen flashes *""Unknown error 500""*.

* A receipt is printed containing incorrect data (identifying the user as *Card 2* and the account as *SVGS*).

Comments: ",,Ashwin Shanmugam,Jasneet Singh,712020:2834640e-88bb-48be-8933-b418c31c0749,712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0,,,,,,,,,,,0|i00013:,,,,06/Feb/26 11:18 PM;712020:2834640e-88bb-48be-8933-b418c31c0749;Defect still exists in version 1.1,In Progress,06/Feb/26 11:17 PM
Redundant PIN entry required after recovering from an Invalid PIN error,DP-13,10012,Bug,In Progress,DP,SENG637 ATM Testing,software,Ashwin Shanmugam,712020:2834640e-88bb-48be-8933-b418c31c0749,Your first project,Medium,,,,Jasneet Singh,712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0,Jasneet Singh,712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0,06/Feb/26 2:53 PM,06/Feb/26 11:13 PM,,,1.1,,0,"Function Tested: Session / PIN Validation

Initial System State:

* System is *ON*.
* A valid card (e.g., Card #1) has just been inserted.
* The system is prompting the user to ""Enter PIN"".

Steps To Reproduce:

# Enter an *incorrect PIN* (e.g., ""0000"") and press Enter.

# Observe the message ""Invalid PIN"" and the prompt to re-enter the PIN.

# Enter the *correct PIN* (e.g., ""42"") and press Enter.

Expected Result:

According to the high level requirements, entering the correct PIN after an invalid attempt should immediately authenticate the user and display the transaction menu.

Actual Result:

The system clears the ""Invalid PIN"" message and *resets the screen* to the initial ""Enter PIN"" prompt as if it were the first attempt. The user is not logged in and must enter the correct PIN a *second time* to proceed to the transaction menu.

Comments: ",,Ashwin Shanmugam,Jasneet Singh,712020:2834640e-88bb-48be-8933-b418c31c0749,712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0,,,,,,,,,,,0|i0000v:,,,,06/Feb/26 11:13 PM;712020:2834640e-88bb-48be-8933-b418c31c0749;Defect still exists in version 1.1,In Progress,06/Feb/26 11:12 PM
"Missing ""Perform Another Transaction"" prompt after Insufficient Cash error",DP-12,10011,Bug,In Progress,DP,SENG637 ATM Testing,software,Ashwin Shanmugam,712020:2834640e-88bb-48be-8933-b418c31c0749,Your first project,Medium,,,,Jasneet Singh,712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0,Jasneet Singh,712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0,06/Feb/26 2:52 PM,06/Feb/26 11:10 PM,06/Feb/26 11:08 PM,,1.1,,0,"Function Tested: Withdrawal (Error Handling Flow)

Initial System State: 

* The system is turned ON.
* Initial cash inventory is set to 1 (indicating 1 bill of $20, total cash = $20).
* The system is idle and waiting for a card.

Steps To Reproduce:

# Launch the ATM System - Lab 1 Version 1.0.jar

# Turn the system switch to ""ON"".

# When prompted for the number of $20 bills, enter 1 and press Enter.

# Click the ""Click to insert card"" button.

# Enter Card Number 2 and press Enter.

# Enter PIN 1234 and press Enter.

# Select Withdrawal (Option 1).

# Select Checking (Option 1).

# Select $20.00 (Option 1) from the withdrawal menu.

Expected Result:

According to the High Level Requirements (Appendix B), if a transaction fails for any reason other than an invalid PIN, the ATM must display an explanation of the problem and ""will then ask the customer whether he/she wants to do another transaction"".

Actual Result:

The system displays a message stating ""Insufficient cash available"" and lists options that can be drawn. The screen does not display a prompt asking the customer if they want to perform another transaction, leaving the user without the standard navigation options defined in the requirements.

Comments:  ",,Ashwin Shanmugam,Jasneet Singh,712020:2834640e-88bb-48be-8933-b418c31c0749,712020:839b1a90-1f77-4b0f-ad14-805a12f86fb0,,,,,,,,,,,0|i00008:,,,,06/Feb/26 11:09 PM;712020:2834640e-88bb-48be-8933-b418c31c0749;Defect still exists in version 1.1,In Progress,06/Feb/26 11:10 PM
ATM doesn't accept the correct pin on third retry after entering the incorrect pin the first and second time. Test case #40,DP-11,10010,Bug,In Progress,DP,SENG637 ATM Testing,software,Ashwin Shanmugam,712020:2834640e-88bb-48be-8933-b418c31c0749,Your first project,Medium,,,,Ashwin Shanmugam,712020:2834640e-88bb-48be-8933-b418c31c0749,Ashwin Shanmugam,712020:2834640e-88bb-48be-8933-b418c31c0749,06/Feb/26 2:44 PM,06/Feb/26 2:44 PM,,,1.1,,0,"Function Tested: Correct re-entry of PIN on the third try is accepted

Initial System State: Request to re-enter PIN is being displayed

Steps To Reproduce:

Enter incorrect PIN the first time and second times, then correct PIN the third time

Expected Result: The system should accept the correct pin on the third attempt.

Actual Result: The system prompts the user to enter a pin again even after the user entering the correct pin

Comments: Defect still exists in version 1.1",,Ashwin Shanmugam,,712020:2834640e-88bb-48be-8933-b418c31c0749,,,,,,,,,,,,0|i0000d:,,,,,In Progress,06/Feb/26 2:44 PM
